track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6INLpBxo9F5QMer04VXEnd,Sexy Boy,1P6U1dCeHxPui5pIrGmndZ,Air,5dmYtZVJ1bG9RyrZBRrkOA,298466,1998-01-16,60,0.435,0.651,0,-6.152,1,0.0288,0.00111,0.609,0.111,0.206,111.896,37i9dQZF1DXaLI8a395lse,Alternative 90s
4GrfClvQgCVLsCfqw7YthQ,You Can Have It All,5hAhrnb0Ch4ODwWu4tsbpi,Yo La Tengo,5egsoXU4SPbj38cP9sBlXk,276640,2000-02-22,59,0.515,0.833,4,-9.409,1,0.0362,0.637,0.944,0.302,0.965,178.471,37i9dQZF1DXaLI8a395lse,Alternative 90s
4BKJRy9GPS4Y3t61S1xEhF,The First Big Weekend,6g8Jqb5JMfv92eB2r0awTN,Arab Strap,5zCiRS0qLH1Xfu9Pg4VV2g,292746,2006-10-22,12,0.686,0.675,2,-10.831,1,0.054,0.0884,0.114,0.0911,0.603,146.534,37i9dQZF1DXaLI8a395lse,Alternative 90s
1JYs5OOgeW1jAOaiiLlJdx,Girl From Mars,2evydP72Z45DouM4uMGsIE,Ash,5BFwMp5Uzs15Zasy5YOqib,213533,1995-07-31,0,0.236,0.797,9,-6.949,1,0.0447,0.0186,0.0,0.11,0.477,154.336,37i9dQZF1DXaLI8a395lse,Alternative 90s
1kKfa4rdmxdqiE1Edunf18,New French Girlfriend,5EtBXjUUyPJmiljpRdN6RJ,The Auteurs,1ygQ16L2WlZVD2x8rpk2LR,255773,1994-01-01,32,0.328,0.629,2,-8.105,1,0.0343,0.0034,0.00363,0.0937,0.411,173.862,37i9dQZF1DXaLI8a395lse,Alternative 90s
0E2UdlzNQP9I70MYumYlFo,Frontier Psychiatrist,3C8RpaI3Go0yFF9whvKoED,The Avalanches,3GBnNRYsxBfEeMSMmTpJ25,288346,2000-01-01,53,0.711,0.905,6,-7.459,1,0.218,0.122,0.000166,0.395,0.437,98.931,37i9dQZF1DXaLI8a395lse,Alternative 90s
44OnyhrKWViHX8aHnMk0PU,You're Gorgeous,1QCANeffsBIHjzhMqUIxBh,Babybird,7AHO6a0Xt8U95Rsf5CVXM3,223173,2004,0,0.58,0.691,0,-7.359,1,0.0338,0.247,0.0,0.429,0.292,123.617,37i9dQZF1DXaLI8a395lse,Alternative 90s
7jOM0KIKgIppqIEvEjixaj,All I Need (feat. Beth Hirsch),1P6U1dCeHxPui5pIrGmndZ,Air,206GTDefY2qRMQxYXmfb0a,268306,1998-01-14,46,0.327,0.426,7,-11.576,0,0.027,0.878,0.000997,0.18,0.169,93.949,37i9dQZF1DXaLI8a395lse,Alternative 90s
21REQ1bCUWphT2QK3bLWYQ,Sure Shot,03r4iKL2g2442PT9n2UKsx,Beastie Boys,6lfjbwFGzQ6aSNP1N3JlT8,199666,1994-05-23,57,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,37i9dQZF1DXaLI8a395lse,Alternative 90s
5PntSbMHC1ud6Vvl8x56qd,Loser,3vbKDsSS70ZX9D2OcvbZmS,Beck,0iIGP4Sxw3KR4OCFv2yvz8,235000,1994-03-01,69,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,37i9dQZF1DXaLI8a395lse,Alternative 90s
5GPPI3rnZDptLYRN4vTUoZ,The Boy With the Arab Strap,4I2BJf80C0skQpp1sQmA0h,Belle & Sebastian,0PnuQg8OK4KoOPrwhgyKRQ,314066,1998-09-07,58,0.577,0.828,7,-9.805,1,0.0556,0.358,0.013,0.0683,0.706,142.365,37i9dQZF1DXaLI8a395lse,Alternative 90s
6D44MaupiigmMXuJg0rU82,Sweet Harmony,46h3caIKtqPlEfRHuSdibg,The Beloved,1Tzv1wAjaOLLTqghexrg2r,300693,1997,0,0.595,0.737,10,-10.332,0,0.03,0.0296,0.109,0.0639,0.867,101.193,37i9dQZF1DXaLI8a395lse,Alternative 90s
3soLwFvqNYT90pZHSZhmK2,Dry The Rain (Remaster),2LMR8u7DOMF0FBseDpTsRa,The Beta Band,3vgtPUuKQeisfGXQohiewS,363538,2018-07-27,42,0.593,0.693,4,-8.576,1,0.0305,0.0283,0.084,0.172,0.749,150.489,37i9dQZF1DXaLI8a395lse,Alternative 90s
6Kz3o55LxMA11GbvFXHFtX,Human Behaviour,7w29UYBi0qsHi5RTcv3lmA,Björk,2Fb37JsRMVPASJcl3wwDOa,252360,1993-07-05,55,0.687,0.635,2,-14.667,1,0.0365,0.0443,0.0252,0.0963,0.546,109.448,37i9dQZF1DXaLI8a395lse,Alternative 90s
68lYnrHMQlCNmVpvyeVfrq,Child Psychology,6Hd3xhv1sj3rlojjvGLkGR,Black Box Recorder,6iVmyoxtAHZ0hfOiHetcpf,248266,1998-07-06,41,0.354,0.394,2,-11.563,1,0.053,0.132,0.044,0.131,0.166,160.554,37i9dQZF1DXaLI8a395lse,Alternative 90s
0Puj4YlTm6xNzDDADXHMI9,Sabotage,03r4iKL2g2442PT9n2UKsx,Beastie Boys,6lfjbwFGzQ6aSNP1N3JlT8,178440,1994-05-23,72,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,37i9dQZF1DXaLI8a395lse,Alternative 90s
7h69nvFshbhUpesEXBPH0w,Devils Haircut,3vbKDsSS70ZX9D2OcvbZmS,Beck,3PpTsdpZmaLUh6RvViu9G7,192933,1996-01-01,51,0.686,0.729,7,-4.848,1,0.0298,0.175,0.000833,0.137,0.79,123.546,37i9dQZF1DXaLI8a395lse,Alternative 90s
0303qZHRLFhKkOgO80toX9,Lazy Line Painter Jane,4I2BJf80C0skQpp1sQmA0h,Belle & Sebastian,7iuBgb8bbBcK91zospMebt,347733,2005-01-01,36,0.343,0.747,6,-5.73,1,0.0632,0.127,9.61e-06,0.31,0.237,125.389,37i9dQZF1DXaLI8a395lse,Alternative 90s
2ZODjHVq1JxCBqWFeBPmAo,Reverend Black Grape,147FGf3bdxV1L0mmVtgaJR,Black Grape,3A0BH6NwwS00OMn59A6rnE,313773,1995-01-01,28,0.61,0.919,8,-6.889,1,0.0643,0.000587,0.00263,0.186,0.657,108.11,37i9dQZF1DXaLI8a395lse,Alternative 90s
6txWz9UapYHVxEd7dDIHXT,No Rain,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,55jET4vDioHHd7ztX7OX3h,217106,1992-01-01,74,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,37i9dQZF1DXaLI8a395lse,Alternative 90s
0NNgY2gc1TUwBQoVp98Fxw,Venus As A Boy,7w29UYBi0qsHi5RTcv3lmA,Björk,2Fb37JsRMVPASJcl3wwDOa,282560,1993-07-05,56,0.619,0.401,1,-11.746,1,0.0339,0.0297,0.00355,0.0701,0.815,136.21,37i9dQZF1DXaLI8a395lse,Alternative 90s
7jreMMxd2UYRePUu1UziLg,The Facts of Life,6Hd3xhv1sj3rlojjvGLkGR,Black Box Recorder,3ln9MXACv6wjhytLh6E2WN,277666,2000-01-01,0,0.607,0.459,8,-10.232,1,0.0474,0.000626,1.24e-05,0.0882,0.39,138.919,37i9dQZF1DXaLI8a395lse,Alternative 90s
3ATIyi8OsM5ciO0CDd2iCs,Slight Return,66nOkPJTFgK25NMmojG04V,The Bluetones,4Y1kBAxpJPxH8dQykSv9kz,200413,2008-01-01,45,0.426,0.878,2,-8.274,1,0.0388,0.0237,0.000118,0.173,0.65,102.818,37i9dQZF1DXaLI8a395lse,Alternative 90s
42cxPm9jgbaxIVN77XA1m6,Tender,7MhMgCo0Bl0Kukl93PZbYS,Blur,5YuZ4DjvtZBywtIbHIqtGJ,461946,1999,64,0.587,0.566,9,-9.932,1,0.0276,0.47,0.0,0.0644,0.529,76.054,37i9dQZF1DXaLI8a395lse,Alternative 90s
