track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0ri0Han4IRJhzvERHOZTMr,At My Worst,1W7FNibLa0O0b572tB2w7t,Pink Sweat$,3Qj2vsFzmaB8jcH6Q60WIG,170344,2020-07-17,77,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
43Hit5V2BpPq2vxvca3ysc,Lean On Me,5JYo7gm2dkyLLlWHjxS7Dy,Sandro Cavazza,7fsU6pyrq6AKkucdXwrPWs,182497,2020-10-09,52,0.799,0.419,6,-7.99,1,0.174,0.412,0.0,0.203,0.716,156.055,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
3S73WiRmw3nowr7ZC6Bmkp,Spaces,6QrQ7OrISRYIfS5mtacaw2,Jaymes Young,2zleDyRZGgQR9MGVFgdVSO,227812,2020-10-09,51,0.716,0.201,5,-13.747,1,0.0526,0.869,0.000149,0.079,0.273,111.949,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
3VcFoOwKYurSedLtz9nFJC,Brainstorm,6sFHvCyqklnJpXC9Nh1aag,Alexander 23,56UlaGuVe8Mpr37CfEk0ZN,186000,2020-10-09,56,0.658,0.317,11,-12.318,0,0.0424,0.823,0.00548,0.111,0.262,76.849,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
4L4lClgi5m2Itz6Fgt750F,First Time,6Dd3NScHWwnW6obMFbl1BH,Daya,3brTW6AYnC94Uafukxvhcu,146910,2020-10-09,60,0.552,0.628,0,-6.897,1,0.292,0.701,1.9e-05,0.399,0.672,101.928,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
55Am8neGJkdj2ADaM3aw5H,Train Wreck,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,208826,2016-10-28,81,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
1wYHNvK8jXzA4TASd5bTMU,"1,000,000 X Better",5RJFJWYgtgWktosLrUDzff,Griff,0FshbFuKCMWATy0iqIkzWQ,191739,2020-10-02,62,0.746,0.775,0,-7.871,1,0.122,0.629,0.000548,0.0622,0.594,120.009,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
74ZQkrS93fcV6fcRYxqjjK,Get It Right,3cBN6cBqKYBdXjENOSeA8z,Hajk,5H6QBY3slTev1nqxv1aSkr,239200,2019-02-08,43,0.747,0.301,2,-11.882,1,0.0382,0.618,0.0149,0.0799,0.465,84.033,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
4jSE5cAaa5rwTyhDSXfwQN,say it over (feat. Cautious Clay),5xkAtLTf309LAGZTbvULBn,Ruel,66wHES29CUsAIaWHkusEka,238499,2020-10-01,68,0.438,0.315,2,-10.941,0,0.044,0.566,0.0,0.606,0.151,156.031,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
5XqDJFVCyRTm5J7cIfRmR1,Not Another Love Song,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,5QJAMz9LqY5DC2BAjLmO7p,217801,2020-10-02,71,0.499,0.612,4,-5.947,0,0.127,0.171,4.99e-05,0.0993,0.218,157.218,37i9dQZF1DX4WYpdgoIcn6,Chill Hits
